Open reading frame,gonad_a1,gonad_a2,gonad_a3,gonad_a4,gonad_a5,gonad_a6,gonad_a7,gonad_a8,gonad_a9,gonad_a10,gonad_b1,gonad_b2,gonad_b3,gonad_b4,gonad_b5,gonad_b6,gonad_b7,gonad_b8,gonad_b9,gonad_b10,Chromosome,Start,End,Strand,WBGene,Gene Name,Type
2L52.1,0,0,0,0,0,0.562258931,1.907232225,0,0,0,0,0,0,0,0,0.49376864,0,0,0,0,CHROMOSOME_II,1867,4663,+,WBGene00007063,,cds
2RSSE.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,15268136,15273238,+,WBGene00007064,,cds
2RSSE.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,15274315,15275613,+,WBGene00044165,,cds
3R5.1,0,3.042486146,3.903987924,4.340501491,1.923504368,2.530165192,0,3.279064811,1.884499053,0.89753313,2.257183486,6.827492035,4.022652,2.511229906,2.534597252,2.962611839,0.950371595,1.467114626,0.963057129,1.498149785,CHROMOSOME_III,13780127,13781032,+,WBGene00007065,pot-3,cds
4R79.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_IV,17486946,17490461,-,WBGene00003525,nas-6,cds
4R79.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_IV,17480360,17483294,-,WBGene00007067,,cds
6R55.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_X,17714380,17714756,+,WBGene00007069,,cds
AC3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10368533,10369845,+,WBGene00005532,sri-20,cds
AC3.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10384134,10385688,+,WBGene00004964,spe-10,cds
AC3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10378929,10379380,-,WBGene00077503,,cds
AC3.2,0,0,0.325332327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99629957,CHROMOSOME_V,10372118,10374238,+,WBGene00007070,ugt-49,cds
AC3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10380316,10381800,-,WBGene00000024,abu-1,cds
AC3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10382419,10383953,+,WBGene00004098,pqn-2,cds
