Open reading frame,group ID,1,2,3,4,5,6,7,8,9,10,diffExp,chromosome,chrom_start,chrom_end,strand,wbgene,Gene name,type
K04A8.1,3,0,0,0.217436915,0,0,0,0,0,0,1.320859981,1.320859981,CHROMOSOME_V,6566319,6568730,+,WBGene00019373,,cds
R90.5,3,0,0,0.217436915,0,0,0,0,0,0,1.320859981,1.320859981,CHROMOSOME_V,12882062,12885946,-,WBGene00011287,glb-24,cds
AC3.2,3,0,0,0.217436915,0,0,0,0,0,0,1.320859981,1.320859981,CHROMOSOME_V,10372118,10374238,+,WBGene00007070,ugt-49,cds
C24A1.3,3,0,0,0.217436915,0,0,0,0,0,0,1.136087321,1.136087321,CHROMOSOME_III,692504,696451,-,WBGene00016030,,cds
F08C6.7,3,0,0,0.217436915,0,0.14647452,0,0,0,0,1.699207209,1.699207209,CHROMOSOME_X,7570329,7573629,-,WBGene00006827,unc-98,cds
C06E1.6,3,0,0,0,0,0,0,0,0,0,1.320859981,1.320859981,CHROMOSOME_III,8590753,8590902,-,WBGene00015521,fipr-16,cds
F01E11.5,3,0,0,0,0,0,0,0,0,0,1.699207209,1.699207209,CHROMOSOME_X,6996831,7005532,-,WBGene00017157,tyra-2,cds
C11H1.9,3,0,0,0,0,0,0,0,0,0,1.559206109,1.559206109,CHROMOSOME_X,14318063,14320328,-,WBGene00023500,,cds
C33G3.3,3,0,0,0,0,0,0,0,0,0,1.136087321,1.136087321,CHROMOSOME_X,14064246,14067915,-,WBGene00007903,lgc-21,cds
T20F7.5,3,0,0,0,0,0,0,0,0,0,1.320859981,1.320859981,CHROMOSOME_X,16845303,16861932,-,WBGene00020632,,cds
W04G3.13,3,0,0,0,0,0,0,0,0,0,1.320859981,1.320859981,CHROMOSOME_X,11079245,11079706,-,WBGene00194793,,cds
F48G7.4,3,0,0,0,0,0,0,0,0,0,1.320859981,1.320859981,CHROMOSOME_V,619435,621504,+,WBGene00018615,,cds
C15B12.5,3,0,0,0,0,0.190059745,0,0,0,0,1.320859981,1.320859981,CHROMOSOME_X,6479601,6484773,-,WBGene00001517,gar-1,cds
C03E10.6,3,0,0,0,0,0,0.318327625,0,0,0,1.320859981,1.320859981,CHROMOSOME_V,11271333,11272451,+,WBGene00007283,clec-222,cds
R11A5.3,3,0,0,0,0,0,0.318327625,0,0,0,1.521548961,1.521548961,CHROMOSOME_I,7862837,7863548,-,WBGene00011231,,cds
K09E2.4,3,0,0,0,0,0.14647452,0.189748329,0,0,0,1.136087321,1.136087321,CHROMOSOME_X,8661224,8671701,+,WBGene00004369,rig-1,cds
C33B4.3,3,0,0,0.217436915,0,0,0.189748329,0,0,0,1.136087321,1.136087321,CHROMOSOME_II,11384521,11390798,-,WBGene00006444,shn-1,cds
F45E10.2,3,0,0,0.290991304,0,0,0.318327625,0,0,0,1.444949572,1.444949572,CHROMOSOME_II,11052082,11055245,-,WBGene00009729,,cds
C47E12.8,3,0,0,0.217436915,0.210328848,0,0.189748329,0,0,0,1.444949572,1.444949572,CHROMOSOME_IV,9978165,9980749,+,WBGene00000964,dhp-2,cds
C45G9.6,3,0,0.283708983,0.217436915,0,0,0,0,0,0,1.320859981,1.320859981,CHROMOSOME_III,5036400,5040366,+,WBGene00016677,,cds
C13D9.7,3,0,0,0,0,0.190059745,0.472434797,0,0,0,1.136087321,1.136087321,CHROMOSOME_V,4983735,4987183,-,WBGene00003573,ncx-8,cds
DH11.2,3,0,0,0.217436915,0,0.190059745,0.472434797,0,0,0,1.320859981,1.320859981,CHROMOSOME_II,8012765,8015203,+,WBGene00008436,,cds
F21G4.6,3,0,0,0,0,0,1.089567309,0,0,0,2.051287803,2.051287803,CHROMOSOME_X,9908740,9917386,-,WBGene00009027,,cds
F58H1.5,3,0,0,0.406354161,0,0,0.578956716,0,0,0.556919604,1.885961338,1.885961338,CHROMOSOME_V,11958372,11962681,+,WBGene00010288,,cds
R12A1.2,3,0,0,0.290991304,0,0.190059745,0.799628596,0,0,0.556919604,1.763701748,1.763701748,CHROMOSOME_V,1393125,1411623,-,WBGene00004925,snt-5,cds
F41E6.6,3,0,0,0.573373063,0,0.319239076,0.50761118,0,0,0,1.320859981,1.320859981,CHROMOSOME_V,8594890,8597541,+,WBGene00007055,tag-196,cds
B0273.4,3,0.64551341,0,1.068757464,0.514231572,0.508360573,0.708702296,1.28024483,0,1.548986104,2.924066421,2.924066421,CHROMOSOME_IV,5495657,5516256,-,WBGene00006745,unc-5,cds
B0281.5,3,0,0,0.406354161,0.183506423,0,0.318327625,0.560896671,0,0.556919604,1.521548961,1.521548961,CHROMOSOME_II,2299853,2300887,-,WBGene00015112,,cds
F42A10.2,3,0,0,0.217436915,0.183506423,0.319239076,0.578956716,0.966147004,0,0.567086442,1.699207209,1.699207209,CHROMOSOME_III,6159790,6164521,+,WBGene00003593,nfm-1,cds
T23H4.2,3,0,0,0.406354161,0,0.319239076,0.318327625,0.966147004,0,0.567086442,1.559206109,1.559206109,CHROMOSOME_I,9879180,9881495,-,WBGene00003659,nhr-69,cds
F49E12.2,3,0,0,0.471080086,0.941406854,1.20868787,1.42779974,1.947704985,1.400282378,2.539850058,6.077153583,6.077153583,CHROMOSOME_II,8398109,8399109,-,WBGene00009898,dod-23,cds
F54F7.2,3,0,0,0.290991304,0,0,0,1.539646316,0.793735534,1.768774125,5.673448096,5.673448096,CHROMOSOME_X,11843593,11845271,+,WBGene00010064,,cds
T03F1.6,3,0,0,0.217436915,0,0,0,0.560896671,0,0.556919604,1.942777021,1.942777021,CHROMOSOME_I,3839812,3841561,-,WBGene00020188,,cds
F54C8.5,3,1.802540854,1.783179183,1.312533221,2.169146627,1.965015334,1.971294637,1.758054969,1.352376344,1.538690448,2.93778827,1.625255049,CHROMOSOME_III,9454260,9455948,-,WBGene00010038,rheb-1,cds
C02F5.13,3,2.98198514,3.315190278,3.009435789,3.230572123,3.499579754,3.66543572,3.63580259,3.343055749,3.322417015,4.289691587,1.307706447,CHROMOSOME_III,8247277,8248745,+,WBGene00015353,,cds
T14B4.5,3,0,0,0,0.370267571,0.190059745,0.472434797,0.560896671,0,0,1.136087321,1.136087321,CHROMOSOME_II,6716921,6717802,+,WBGene00020501,,cds
C50F7.6,3,0,0,0,0,0,0.578956716,0.96374902,0,0,1.276332728,1.276332728,CHROMOSOME_IV,7720555,7723188,-,WBGene00016846,,cds
K06A1.3,3,0,0.283708983,0.217436915,0,0,0.357416276,1.28024483,0,0,1.559206109,1.559206109,CHROMOSOME_II,6441396,6443889,+,WBGene00019426,cutl-16,cds
F07A11.4,3,0,0,0,0,0,0,1.28024483,0,0,1.444949572,1.444949572,CHROMOSOME_II,11603890,11611466,+,WBGene00008547,,cds
K07E3.4,3,0,0,0,0.183506423,0,0,0.966147004,0,0,1.276332728,1.276332728,CHROMOSOME_X,8080823,8083969,-,WBGene00019492,,cds
Y57G11C.47,3,0,0,0,0,0,0,0.560896671,0,0,1.136087321,1.136087321,CHROMOSOME_IV,14905032,14909654,-,WBGene00013336,pnc-2,cds
